species	mode
Naso_brevirostris	BCF
glass_fish	NA
Zebrasoma_scopas	BCF
Apogon_nigrofasciatus	BCF
Cheilodipterus_macrodon	BCF
Cheilodipterus_quinquelineatus	BCF
Chaetodon_aureofasciatus	BCF
Chaetodon_auriga	BCF
Chaetodon_baronessa	BCF
Chaetodon_citrinellus	BCF
Chaetodon_ephippium	BCF
Chaetodon_kleinii	BCF
Chaetodon_lunulatus	BCF
Chaetodon_plebius	BCF
Chaetodon_rainfordii	BCF
Chaetodon_trifascialis	BCF
Chaetodon_ulietensis	BCF
Chaetodon_vagabundus	BCF
Chelmon_rostratus	BCF
Heniochus_singularis	BCF
Amblygobius_decussatus	BCF
Valenciennea_strigata	BCF
Lutjanus_carponotatus	BCF
Scolopsis_bilineatus	BCF
Centropyge_bicolor	BCF
Centropyge_vrolikii	BCF
Stegastes_nigricans	BCF
Cephalopholis_boenak	BCF
Plectropomus_leopardus	BCF
Siganus_corallinus	BCF
Siganus_doliatus	BCF
Siganus_spinus	BCF
Siganus_vulpinus	BCF
Acanthurus_blochii	MPF
Acanthurus_dussumieri	MPF
Acanthurus_lineatus	MPF
Acanthurus_nigrofuscus	MPF
Acanthurus_olivaceus	MPF
Acanthurus_triostegus	MPF
Ctenochaetus_binotatus	MPF
Ctenochaetus_striatus	MPF
Sufflamen_chrysopterus	MPF
Anampses_neoguinaicus	MPF
Bodianus_mesothorax	MPF
Cheilinus_chlorurus	MPF
Cheilinus_fasciatus	MPF
Choerodon_fasciatus	MPF
Cirrhilabrus_punctatus	MPF
Coris_batuensis	MPF
Epibulus_insidiator	MPF
Gomphosus_varius	MPF
Halichoeres_margaritaceus	MPF
Halichoeres_melanurus	MPF
Hemigymnus_melapterus	MPF
Labrichthys_unilineatus	MPF
Labroides_dimidiatus	MPF
Macropharyngodon_negrosensis	MPF
Oxycheilinus_digrammus	MPF
Pseudocheilinus_hexataenia	MPF
Stethojulis_bandanensis	MPF
Thalassoma_janseni	MPF
Thalassoma_lunare	MPF
Pomacanthus_sexstriatus	MPF
Abudefduf_sexfasciatus	MPF
Abudefduf_vaigiensis	MPF
Abudefduf_whitleyi	MPF
Acanthochromis_polyacanthus	MPF
Amblyglyphidodon_curacao	MPF
Amphiprion_akindynos	MPF
Chromis_atripectoralis	MPF
Chromis_weberi	MPF
Chrysiptera_brownriggi	MPF
Chrysiptera_rex	MPF
Chrysiptera_rollandi	MPF
Chrysiptera_talboti	MPF
Dascyllus_aruanus	MPF
Dascyllus_reticulatus	MPF
Dischistodus_melanotus	MPF
Neoglyphidodon_melas?	MPF
Neoglyphidodon_nigroris	MPF
Neopomacentrus_azysron	MPF
Plectroglyphidodon_lacrymatus	MPF
Pomacentrus_amboinensis	MPF
Pomacentrus_bankanensis	MPF
Pomacentrus_brachialis	MPF
Pomacentrus_chrysurus	MPF
Pomacentrus_coelestis	MPF
Pomacentrus_lepidogenys	MPF
Pomacentrus_nagasakiensis	MPF
Premnas_biaculeatus	MPF
Stegastes_apicalis	MPF
Canthigaster_valentini	MPF
